Date,Site_ID,Sales_Volume,Conversion_Rate,Average_Order_Value,Cart_Abandonment_Rate,Customer_Lifetime_Value,Traffic_Source,Customer_ID,Customer_Name,Customer_Email
2024-02-22,1,2151,0.01,243,0.25,470,Social Media,1332,Jane Smith,chriswhite@mail.com
2024-02-23,1,3398,0.06,291,0.2,405,Referral,1154,John Doe,bobgreen@mail.com
2024-02-24,5,4928,0.07,134,0.34,358,Social Media,1037,Jane Smith,johndoe@mail.com
2024-02-25,2,4511,0.07,53,0.37,253,Social Media,1577,Bob Green,alicebrown@mail.com
2024-02-26,1,4670,0.09,278,0.18,263,Social Media,1120,Bob Green,johndoe@mail.com
2024-02-27,3,1858,0.03,149,0.23,885,Organic,1049,Jane Smith,alicebrown@mail.com
2024-02-28,1,3135,0.09,187,0.28,542,Referral,1678,John Doe,bobgreen@mail.com
2024-02-29,3,3690,0.03,150,0.44,575,Referral,1626,Alice Brown,janesmith@mail.com
2024-03-01,1,2422,0.08,148,0.41,567,Social Media,1607,Jane Smith,chriswhite@mail.com
2024-03-02,2,3554,0.08,244,0.22,902,Paid,1787,Jane Smith,bobgreen@mail.com
2024-03-03,1,2136,0.08,177,0.39,312,Paid,1833,Bob Green,janesmith@mail.com
2024-03-04,4,2589,0.08,218,0.42,779,Organic,1100,Jane Smith,johndoe@mail.com
2024-03-05,1,3850,0.1,154,0.36,908,Organic,1511,Bob Green,johndoe@mail.com
2024-03-06,1,4187,0.07,216,0.36,747,Social Media,1440,Chris White,chriswhite@mail.com
2024-03-07,5,3651,0.04,204,0.2,294,Organic,1286,Bob Green,johndoe@mail.com
2024-03-08,3,4166,0.07,215,0.21,702,Paid,1840,Chris White,chriswhite@mail.com
2024-03-09,5,4544,0.06,135,0.19,704,Social Media,1664,Bob Green,chriswhite@mail.com
2024-03-10,1,3546,0.02,81,0.34,960,Social Media,1391,Jane Smith,alicebrown@mail.com
2024-03-11,4,1362,0.02,150,0.21,972,Organic,1661,Bob Green,johndoe@mail.com
2024-03-12,5,4390,0.07,107,0.5,389,Referral,1398,John Doe,alicebrown@mail.com
2024-03-13,4,1121,0.07,180,0.24,234,Referral,1300,Jane Smith,bobgreen@mail.com
2024-03-14,1,2417,0.07,98,0.43,774,Referral,1540,Alice Brown,chriswhite@mail.com
2024-03-15,5,2844,0.03,255,0.5,890,Paid,1997,Chris White,bobgreen@mail.com
2024-03-16,1,3986,0.07,277,0.15,451,Organic,1112,John Doe,johndoe@mail.com
2024-03-17,4,2660,0.03,264,0.17,703,Social Media,1855,John Doe,chriswhite@mail.com
2024-03-18,3,4657,0.03,106,0.45,803,Paid,1167,Jane Smith,bobgreen@mail.com
2024-03-19,5,1931,0.04,209,0.12,272,Social Media,1138,Jane Smith,alicebrown@mail.com
2024-03-20,1,1320,0.08,120,0.22,823,Organic,1180,Alice Brown,johndoe@mail.com
2024-03-21,4,4185,0.05,294,0.14,814,Paid,1984,Chris White,alicebrown@mail.com
2024-03-22,4,4096,0.05,95,0.31,681,Referral,1836,Alice Brown,alicebrown@mail.com
2024-03-23,4,3460,0.04,73,0.22,704,Organic,1007,Jane Smith,johndoe@mail.com
2024-03-24,2,3168,0.06,278,0.11,388,Organic,1323,Chris White,alicebrown@mail.com
2024-03-25,5,1527,0.06,288,0.37,802,Social Media,1138,Jane Smith,janesmith@mail.com
2024-03-26,5,4115,0.03,116,0.39,391,Social Media,1131,Chris White,chriswhite@mail.com
2024-03-27,2,1278,0.04,290,0.17,305,Social Media,1679,Alice Brown,bobgreen@mail.com
2024-03-28,4,3679,0.08,278,0.46,412,Social Media,1935,Bob Green,chriswhite@mail.com
2024-03-29,3,1148,0.05,102,0.31,879,Organic,1302,Jane Smith,chriswhite@mail.com
2024-03-30,1,4325,0.03,252,0.48,400,Social Media,1229,Jane Smith,chriswhite@mail.com
2024-03-31,2,2432,0.05,55,0.33,553,Referral,1040,John Doe,janesmith@mail.com
2024-04-01,5,4360,0.04,253,0.37,526,Social Media,1204,Bob Green,bobgreen@mail.com
2024-04-02,2,2757,0.09,238,0.11,945,Social Media,1593,Jane Smith,alicebrown@mail.com
2024-04-03,1,1684,0.02,176,0.42,238,Social Media,1311,Chris White,johndoe@mail.com
2024-04-04,3,3636,0.05,245,0.35,557,Social Media,1322,John Doe,bobgreen@mail.com
2024-04-05,4,3022,0.08,99,0.24,330,Social Media,1901,Alice Brown,bobgreen@mail.com
2024-04-06,4,1176,0.06,196,0.12,921,Referral,1573,Jane Smith,chriswhite@mail.com
2024-04-07,3,4938,0.04,201,0.26,611,Paid,1949,Chris White,chriswhite@mail.com
2024-04-08,3,1287,0.03,177,0.4,277,Organic,1905,Jane Smith,johndoe@mail.com
2024-04-09,5,1357,0.05,222,0.27,432,Paid,1845,Jane Smith,alicebrown@mail.com
